HPK,HPB,LL,FC,PS,PK,Status
14.6,0.8,4,2,6,8,1
10.1,1,4,2,6,8,0
8,1.2,4,2,7,8,0
8.5,0.6,4,3,6,8,0
14.7,0.5,4,3,7,8,1
6.7,1,4,3,6,8,0
9.2,1.1,4,2,7,8,0
8.4,0,4,2,6,8,0
11.8,1.2,4,2,6,8,0
12.5,0.7,4,2,7,8,1
14.6,1,4,2,6,8,1
10.3,0.6,4,2,6,8,0
11.4,2.1,4,2,6,8,0
7.1,2,4,2,7,8,0
4.6,1.8,4,2,6,8,0
7.9,0.7,4,2,6,8,0
12.8,0,4,2,7,8,1
10.7,0.6,4,2,6,8,0
8.2,0.6,4,2,6,8,0
10.1,1.6,4,2,6,8,0
6.7,2.5,4,2,7,8,0
6.4,3,4,2,6,8,0
11.5,2.4,4,2,6,8,0
3.8,3,4,2,7,9,0
12.3,1.6,4,2,6,8,1
11.6,0.8,4,2,7,8,0
10.8,1.2,4,3,6,8,0
12.7,2,4,3,7,8,1
14.5,2,4,2,6,8,1
9.2,0.6,4,3,7,8,0
10.1,3,4,2,6,8,0
15.7,3.2,4,2,7,8,1
12.6,2.5,4,2,6,8,1
13.4,2.6,4,3,7,8,1
9,1.8,4,2,6,8,0
9.4,1,4,2,7,8,0
11.2,1.6,4,2,6,8,0
15.8,2,4,2,7,8,1
14.2,2.1,4,3,6,8,1
15.4,3,4,2,6,8,1
9.7,0.8,4,2,6,8,0
10.1,0.5,4,2,7,8,0
12.3,1.1,4,3,6,8,1
14.1,2.5,4,3,7,8,1
9.5,3,4,2,6,8,0
15.7,1.6,4,2,7,8,1
13.2,1.6,4,3,6,8,1
12.7,2.1,4,2,7,8,1
14.6,1.5,4,2,6,8,1
10.1,1.8,4,2,6,8,0
11.7,1.1,4,2,6,8,0
12.8,0.8,4,2,7,9,1
14.3,0.6,4,2,6,8,1
15.5,2,4,2,6,8,1
9.4,2.5,4,3,6,8,0
8.2,3,4,2,7,8,0
8,3.5,4,2,6,8,0
10.2,3.1,4,2,6,8,0
10.8,1.7,4,2,7,8,0
13.1,1.8,4,2,6,8,1
9.1,1.8,4,2,6,8,0
10.2,2.8,4,2,6,8,1
16.8,0.8,4,2,7,8,1
10.9,1,4,2,6,8,0
5.8,1,4,3,6,8,0
6.7,1.1,4,2,7,8,0
8.5,1.2,4,3,6,8,0
4.7,1.8,4,3,6,8,0
9.2,2,4,2,6,8,0
12.3,2.4,4,3,7,8,1
11.2,2.1,4,2,6,8,0
9.2,1.6,4,2,6,8,0
12.5,1.8,4,3,7,8,1
10.4,3,4,2,6,8,0
11.1,3.4,4,2,6,8,0
9.6,4.2,4,2,6,8,0
12.8,3.7,4,2,7,8,1
7.2,3,4,2,6,8,0
8.5,2.8,4,2,6,8,0
4.3,2.5,4,2,7,9,0
9.1,2.6,4,2,6,8,0
11.8,3.1,4,2,6,8,0
12.6,2.8,4,2,6,8,1
14.4,2,4,2,7,8,1
10.1,1.8,4,2,6,8,0
8.7,2.1,4,2,6,8,0
5.1,2.5,4,2,7,8,0
4.8,3.4,4,2,6,8,0
2.8,6.2,4,2,6,8,0
3,12.2,4,2,6,8,1
9.1,62.7,4,2,7,9,1
4.8,3.1,4,2,6,8,0
8.5,2.5,4,3,6,8,0
3,2.1,4,2,7,8,0
3.8,1.8,4,2,6,8,0
4.2,1.6,4,2,6,8,0
5.6,1.6,4,3,6,8,0
8.2,1.3,4,2,7,8,0
11.1,1,4,2,6,8,0
12.4,1,4,2,6,8,1
15.6,0.8,4,2,7,8,1
12.8,0.9,4,2,6,8,1
11.7,0.5,4,2,6,8,0
10.4,1,4,2,6,8,0
14.7,1.2,4,2,7,9,1
12.5,1.1,4,2,6,8,1
10.8,2.1,4,2,6,8,0
9.7,1.6,4,2,7,8,0
10.5,1.7,4,2,6,8,0
12.2,1.1,4,2,6,8,1
10.8,1,4,2,6,8,0
9.5,1.9,4,2,7,8,0
12.1,2,4,2,6,8,1
13.4,2.1,4,2,6,8,1
10.8,2.5,4,2,7,8,0
8.5,3.5,4,2,6,8,0
4.7,3.3,4,2,6,8,0
8.9,3.8,4,2,6,8,0
10.1,2.8,4,2,7,8,0
8.4,2.4,4,2,6,8,0
5.5,2.1,4,2,6,8,0
6.2,1.7,4,2,7,9,0
4,0.8,4,2,6,8,0
4.5,0.6,4,2,6,8,0
8,0.3,4,2,6,8,0
6.3,0,4,2,7,8,0
7,0.9,4,2,6,8,0
5.8,1.3,4,2,6,8,0
4.3,1.5,4,2,7,8,0
3,1.9,4,2,6,8,0
2.8,2,4,2,6,8,0
4.6,2.1,4,2,6,8,0
8.6,0.8,4,2,7,8,0
10.2,0.6,4,2,6,8,0
10.5,3.2,4,2,6,8,0
11.1,3.5,4,2,7,9,1
8.4,0.8,4,2,6,8,0
